Jan,január
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,"Custom CSS és egyéni JS: Beállítás változtatni a kinézetét a modul, mint egy igényüket a belépő saját CSS és JS kódot egyéni"
2-Display setting tab,2-Display beállítás fül
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,Minimum képernyő mérete: Beállítás választani minimális képméret akivel a megjeleníteni kívánt ajánlatokat.
Maximum Display frequency : Setting to select the frequency of the wheel display here,Maximum kijelző jelentése: Beállítás a frekvencia a kerék itt látható
Where to Display : Setting to select the pages where you want to display the wheel from here,"Hol megjeleníteni: Beállítás válassza ki az oldalakat, ahol a megjeleníteni kívánt kerék innen"
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Ki kell tüntetni: beállítása válassza ki a látogatók körében szeretné megmutatni a spin kereket. Kiválaszthatja „Minden látogató”, „regisztrált látogatók” vagy ""Guest Látogatóközpont"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,"Mikor kell megjeleníteni: Beállítás választani pontosan mikor kívánja a kerék jelenik meg. Akkor sem jeleníti meg azonnal, amikor a vásárló a földeket a webhelyen vagy egy bizonyos idő után, vagy amikor a látogató legörget"
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,"Földrajzi hely: Beállítás, hogy kiválassza a kijelző kínál, mint egy a Geo helyét a látogatók."
3-Look & Feel  setting tab ,3-Look & Feel beállítás fülre
Setting to allow change the look of the wheel as it appears on the site,"Beállítás, hogy változtatni a kinézetét a kerék, ahogy jelenik meg az oldalon"
4-Wheel setting tab,4-Wheel beállítás fül
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,Beállítása változtatni a kinézetét a spin kerék által a konfiguráció megváltoztatása a „Wheel beállítás” opciót
5-Slice setting tab,5 szelet beállítás fülre
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,Beállításokat és a szöveg vagy ajánlatok jelennek meg a különböző szeleteit a kerék lehet változtatni a „szelet beállítása” opciót
6-Email marketing setting tab,6-mail marketing beállítás fül
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,Az adminisztrátor engedélyezheti vagy letilthatja MailChimp és Klaviyo lehetőséget a „e-mail marketing” beállításokat. Egy e-mail értesítést küldünk az ügyfelek az e-mail id említett őket.
7-Email tab,7-mail lapon
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Lehetővé teszi az adminisztrátor választani azokat a helyeket, ahol akar, hogy megjelenjen a kupont. Nevezetesen a „Csak Wheel”, „csak e-mail”, „E-mail és Wheel”"
8-Statistics tab,8 Statisztika lap
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,"A teljes hozzáférést biztosít a statisztikai jelentést a látogatók, akik pörgetett a kereket, és azt állította, a kupon által generált ugyanaz. A jelentés keletkezik mind a grafikus és táblázatos formában."
Display Image,kép megjelenítése
Show image in the front end Spin Wheel interface,Kép megjelenítése a kezelőfelületen spin Vezérlőtárcsának
Upload your Logo Image,Feltöltése Emblémakép
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),Feltöltése megjelenítendő kép az elülső végén spin kerék felület (Max méret - 2 MB)
Required Field,Kötelező mező
Not a valid email,Nem érvényes email
a discount,kedvezmény
Code copied.,Kód másolni.
Website Logo,Weboldal Logo
Special bonus unlocked,Különleges bónusz kinyitotta
Hurrah! You've got,Hurrá! Megvan
. Lucky day!,. Szerencsés nap!
The coupon code has been sent to you through the email.,A kuponkód küldtünk végig az e-mail.
Better luck next time!,Legközelebb több szerencsét!
You have a chance to win a nice big fat discount. Are you ready?,"Van egy esélyt, hogy nyerj egy szép nagy kövér kedvezmény. Kész vagy?"
You can spin the wheel only once.,Akkor forgasd meg a kereket csak egyszer.
"If you win, you can claim your coupon for 1 day only!","Ha nyersz, akkor azt állítják, a kupon 1 napig csak!"
Don't forget to use the discount code at checkout!,Ne felejtsd el használni a kedvezmény kódot fizetéskor!
Enter you email,Írja levelezik
Try your luck,Próbálj szerencsét
Next Time,Legközelebb
"No, I do not feel lucky","Nem, nem érzem szerencsésnek"
Continue,Folytatni
Spin and Win Free,Spin és Win Free
