Jan,leden
v1.0.0,v1.0.0
Current Configuration Scope,Aktuální konfigurace Rozsah
Save Configurations,ukládat konfigurace
General Settings,Obecné nastavení
Look and Feel Settings,Vzhled a chování Nastavení
Go to Home Page,Jít na domovskou stránku
Home,Domov
Spin & Win,Spin & Win
Enable the Extension,Povolit rozšíření
Following features are not avalialble in free version.,Následující funkce nejsou avalialble ve volné verzi.
Click here ,Klikněte zde
to buy paid version of this module.,koupit placenou verzi tohoto modulu.
1-General setting tab,1 Karta Obecné nastavení
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,"Show Vytáhněte: Nastavení, aby majitel obchodu poskytnout možnost vytáhnout kolo zpět na obrazovce uživatelem"
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,"Email redundantní kontrola: Nastavení pro ověření e-mailové id zákazníka, aby se zajistilo, že není opakování emaily id"
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,"Kolečko Display Interval: Nastavení stanovit počet dní, po které bude kolo zobrazených k zákazníkovi."
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,Vlastní CSS a JS Custom: Nastavení změnit vzhled a dojem z modulu dle jejich potřeby zadáním vlastní CSS a JS vlastní kód
2-Display setting tab,Karta nastavení 2-Display
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,"Minimální velikost obrazovky: Nastavení vybrat minimální velikost obrazovky, kterého chcete zobrazovat nabídky."
Maximum Display frequency : Setting to select the frequency of the wheel display here,Maximální frekvence Displej: Nastavení pro volbu frekvence displeje kola zde
Where to Display : Setting to select the pages where you want to display the wheel from here,"Kde Displej: Nastavení pro výběr stránky, kde chcete zobrazit kolo odtud"
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Koho Zobrazit: Nastavení pro výběr návštěvníků, kterým chcete ukázat spin kolo. Můžete si vybrat ‚Všichni návštěvníci‘, ‚registrovaných návštěvníků‘ nebo ""Host hostí"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,"Kdy Displej: Nastavení vybrat si přesně, kdy chcete, aby se kolo, které mají být zobrazeny. Buď můžete zobrazit okamžitě, když přistane zákazník na vašem webu nebo po určitou dobu nebo když návštěvník svitky dolů"
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,Geo Umístění: Nastavení zvolit zobrazení nabídek podle umístění Geo návštěvníků.
3-Look & Feel  setting tab ,3-Look & Vaše karta nastavení
Setting to allow change the look of the wheel as it appears on the site,"Nastavení umožňuje změnit vzhled kola, jak je uveden na webu"
4-Wheel setting tab,Karta nastavení 4-Wheel
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,Nastavení změnit vzhled a dojem z spin kola změnou nastavení ve volbě ‚Wheel Setting‘
5-Slice setting tab,Karta nastavení 5-plátek
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,Nastavení a text nebo nabídky zobrazené v různých plátků kola lze měnit od ‚Slice Setting‘ volba
6-Email marketing setting tab,Karta marketing nastavení 6-Email
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,"Administrátor může povolit nebo zakázat MailChimp a Klaviyo volbu z nastavení ‚E-mail marketing‘. E-mailem oznámení bude zaslán k zákazníkům na e-mailovou ID, jak zmínil se o ně."
7-Email tab,Karta 7-Email
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Umožňuje správce vybrat místa, kde chce zobrazit kupón. A sice ‚jen na kolo‘, ‚Email pouze‘, ‚Email & Wheel‘"
8-Statistics tab,8 Karta statistických údajů
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,"Kompletní přístup ke statistické zprávy z návštěvníků, kteří spředeny kolo a nárokovaných kupón generovaný stejný. Tato zpráva je generována v obou grafické a tabulkové podobě."
Display Image,Display Image
Show image in the front end Spin Wheel interface,Zobrazit obrázek v rozhraní front end Spin Wheel
Upload your Logo Image,Nahrát svůj obrázek loga
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),"Nahrát obrázek, který bude zobrazen v rozhraní front end prokluzování kol (Maximální velikost - 2 MB)"
Required Field,Povinné pole
Not a valid email,Není platný e-mail
a discount,sleva
Code copied.,Kód kopírovat.
Website Logo,Webové stránky Logo
Special bonus unlocked,Speciální bonus odemkl
Hurrah! You've got,Hurá! Máte
. Lucky day!,", Šťastný den!"
The coupon code has been sent to you through the email.,Kupon kód byl zaslán prostřednictvím e-mailu.
Better luck next time!,Příště víc štěstí!
You have a chance to win a nice big fat discount. Are you ready?,Máte šanci vyhrát pěkný velký tlustý slevu. Jsi připraven?
You can spin the wheel only once.,Můžete točit volantem pouze jednou.
"If you win, you can claim your coupon for 1 day only!","Pokud vyhrajete, můžete nárokovat kupón jen 1 den!"
Don't forget to use the discount code at checkout!,Nezapomeňte použít slevový kód u pokladny!
Enter you email,Zadejte e-maily
Try your luck,Zkus své štěstí
Next Time,Příště
"No, I do not feel lucky","Ne, nemám pocit štěstí"
Continue,Pokračovat
Spin and Win Free,Spin a Win zdarma
