Jan,jan
Uploaded file is not an image,Geüploade bestand is geen afbeelding
Uploaded file size must be less than #.,Geuploade bestandsgrootte moet kleiner zijn dan # zijn.
Field should not contain HTML tags.,Het gebied mag geen HTML-tags bevatten.
You can enter only positive numbers.,U kunt alleen positieve getallen in te voeren.
Invalid comma (#) separated values.,Ongeldige komma (#) gescheiden waarden.
Spin and Win Free version,Spin en Win gratis versie
v1.0.0,v1.0.0
Current Configuration Scope,Huidige configuratie Scope
Save Configurations,Save configuraties
General Settings,Algemene instellingen
Look and Feel Settings,Look and Feel Instellingen
Go to Home Page,Ga naar homepagina
Home,Huis
Spin & Win,Spin & Win
Enable the Extension,Schakel de Extension
Following features are not avalialble in free version.,De volgende functies zijn niet avalialble in gratis versie.
Click here ,Klik hier
to buy paid version of this module.,betaalde versie van deze module te kopen.
1-General setting tab,1-generaal tabblad instelling
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,Show Trek: Instelling om eigenaar van de winkel om de optie om het wiel terug te trekken op het scherm door de gebruiker
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,E-mail Redundancy Check: instellen op de e-id van de klant controleren om ervoor te zorgen dat er geen herhaling van e-mail id
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,Wheel Weergave Interval: Instelling van het aantal dagen waarna het wiel wordt weergegeven aan de klant op te lossen.
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,Eigen CSS en Custom JS: instellen om de look-and-feel van de module als per hun behoefte door het invoeren van de aangepaste CSS en aangepaste JS code
2-Display setting tab,tab 2-Display-instelling
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,Minimum Screen Size: instellen op de minimale grootte van het scherm waarmee u wilt aanbiedingen weer te geven te kiezen.
Maximum Display frequency : Setting to select the frequency of the wheel display here,Maximum Display frequentie: instellen op de frequentie van het wiel hier tentoongesteld selecteren
Where to Display : Setting to select the pages where you want to display the wheel from here,Waar wilt zien: instellen op de pagina's te selecteren waar u het wiel van hier weer te geven
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Wie naar Show: instellen op de bezoekers aan wie u wilt de spin wiel te tonen te selecteren. U kunt kiezen ‘Alle bezoekers’, ‘Registered Visitors’, of ‘Guest Visitors’"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,Als u wilt zien: instellen om precies te kiezen wanneer je wilt het wiel moet worden weergegeven. U kunt weer te geven onmiddellijk wanneer de klant landt op uw site of na verloop van tijd of wanneer de bezoeker scrollt
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,Geo Locatie: instellen op de display biedt volgens de geo-locatie van de bezoekers.
3-Look & Feel  setting tab ,3-Look & Feel instelling tab
Setting to allow change the look of the wheel as it appears on the site,Instellen om het uiterlijk van het wiel zoals deze op de site wordt weergegeven
4-Wheel setting tab,tab 4-Wheel-instelling
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,Instellen om de look-and-feel van de spin wiel door het veranderen van de configuratie in de optie ‘Wheel Setting’
5-Slice setting tab,5-Slice tabblad instelling
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,Instellingen en de tekst of aanbiedingen weergegeven in de verschillende segmenten van het wiel kan worden gewijzigd via de optie ‘Slice instellen’
6-Email marketing setting tab,6-tabblad E-mail marketing instelling
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,De beheerder kan in- of MailChimp en Klaviyo optie uit te schakelen van de ‘E-mail Marketing’ settings. Een e-mailbericht wordt op de e-id aan de klanten worden verzonden als genoemd door hen.
7-Email tab,7-tabblad E-mail
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Hiermee kan de admin naar de plaatsen waar hij wil de coupon weer te geven te kiezen. Namelijk ‘Alleen op Wheel’, ‘E-Only’, ‘E-mail & Wheel’"
8-Statistics tab,8-tabblad Statistieken
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,Een volledige toegang tot het statistisch verslag van de bezoekers die het wiel gedraaid en beweerde dat de coupon wordt gegenereerd door dezelfde. Het rapport wordt gegenereerd in zowel de grafische tabel formaat.
Display Image,Beeld weergeven
Show image in the front end Spin Wheel interface,Beeld tonen in de front-end Spin Wheel-interface
Upload your Logo Image,Upload uw Logoafbeelding
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),Upload een beeld dat moet worden weergegeven in de front-end Spin Wheel interface (Max Size - 2 MB)
Required Field,Verplicht veld
Not a valid email,Geen geldig e
a discount,een korting
Code copied.,Code gekopieerd.
Website Logo,website Logo
Special bonus unlocked,Speciale bonus ontgrendeld
Hurrah! You've got,Hoera! Jij hebt
. Lucky day!,. Geluksdag!
The coupon code has been sent to you through the email.,De coupon code via de e-mail naar u verzonden.
Better luck next time!,Volgende keer beter!
You have a chance to win a nice big fat discount. Are you ready?,Je hebt een kans om een ​​mooie dikke korting te winnen. Ben je klaar?
You can spin the wheel only once.,U kunt het wiel maar één keer draaien.
"If you win, you can claim your coupon for 1 day only!","Als je wint, kunt u uw coupon claimen voor slechts 1 dag!"
Don't forget to use the discount code at checkout!,Vergeet niet om de korting code te gebruiken bij de kassa!
Enter you email,Voer je e-mail
Try your luck,Probeer je geluk
Next Time,De volgende keer
"No, I do not feel lucky","Nee, ik voel me niet gelukkig"
Continue,Doorgaan met
Spin and Win Free,Spin en Win gratis
