Jan,január
SKU cannot be less than # characters.,SKU nemôže byť nižšia ako # znakov.
Invalid SKU format.,Neplatný formát SKU.
Please enter SKU.,"Prosím, zadajte SKU."
Number is not in the valid range. It should be betwen # and %,Číslo nie je v platnom rozsahu. Malo by byť betwen # a%
Please enter address.,Zadajte prosím adresu.
Address cannot be less than # characters.,Adresa nemôže byť menšia ako # znakov.
Address cannot be greater than # characters.,Adresa nemôže byť väčšia ako # znakov.
Please enter company name.,Zadajte prosím názov spoločnosti.
Company name cannot be less than # characters.,Názov spoločnosti nemôže byť nižšia ako # znakov.
Company name cannot be greater than # characters.,Názov spoločnosti nemôže byť väčšia ako # znakov.
Phone number is invalid.,Telefónne číslo je neplatné.
Please enter phone number.,"Prosím, zadajte telefónne číslo."
Phone number cannot be less than # characters.,Telefónne číslo nesmie byť menšia ako # znakov.
Phone number cannot be greater than # characters.,Telefónne číslo nesmie byť vyššia ako # znakov.
Please enter brand name.,"Prosím, zadajte názov značky."
Brand name cannot be greater than # characters.,značka nemôže byť väčšia ako # znakov.
Brand name cannot be less than # characters.,Značka nesmie byť menšia ako # znakov.
Please enter Shimpment.,"Prosím, zadajte Shimpment."
Shipment cannot be greater than # characters.,Preprava nemôže byť väčšia ako # znakov.
Shipment cannot be less than # characters.,Preprava nemôže byť menšia ako # znakov.
Invalid IP format.,Neplatný formát IP.
Invalid URL format.,Neplatný formát adresy URL.
Please enter URL.,Zadajte prosím adresu URL.
Field should be numeric.,Pole by malo byť číslo.
Field can have only upto two decimal values.,Pole môže mať iba aľ dve desatinné čísla.
Email cannot be greater than # characters.,E-mail nemôže byť väčšia ako # znakov.
Zip should not have special characters.,Zips by nemala mať špeciálne znaky.
SKU should not have special characters.,Kód by nemal mať špeciálne znaky.
URL cannot be greater than # characters.,URL nemôže byť väčšia ako # znakov.
Percentage should be in number.,Percento by malo byť v rade.
Percentage should be between 0 and 100.,Percento by mala byť medzi 0 a 100.
Size cannot be greater than # characters.,Veľkosť nemôže byť väčšia ako # znakov.
Size should not have special characters.,Veľkosť by nemala mať špeciálne znaky.
UPC should not have special characters.,UPC by nemala mať špeciálne znaky.
UPC cannot be greater than # characters.,UPC nemôže byť väčšia ako # znakov.
EAN should not have special characters.,EAN by nemala mať špeciálne znaky.
EAN cannot be greater than # characters.,EAN nemôže byť väčšia ako # znakov.
Barcode should not have special characters.,Čiarový kód by nemal mať špeciálne znaky.
Barcode cannot be greater than # characters.,Čiarový kód nemôže byť väčšia ako # znakov.
Field should be positive.,Pole by mala byť pozitívna.
Color could not be greater than # characters.,Farba by nemala byť väčšia ako # znakov.
Color is not valid.,Farba nie je platný.
Special characters are not allowed.,Špeciálne znaky nie sú povolené.
Script tags are not allowed.,Script tagy nie sú povolené.
Style tags are not allowed.,Štýl značky nie sú povolené.
Iframe tags are not allowed.,Značky iframe nie sú povolené.
Uploaded file is not an image,Nahraný súbor nie je obrázok
Uploaded file size must be less than #.,Nahraný veľkosť súboru musí byť menšia než #.
Field should not contain HTML tags.,Pole nesmie obsahovať HTML tagy.
You can enter only positive numbers.,Môžete zadať iba kladné čísla.
Invalid comma (#) separated values.,Neplatný čiarka (#) hodnoty oddelené.
Spin and Win Free version,Spin a Win verzia zdarma
v1.0.0,v1.0.0
Current Configuration Scope,Aktuálne konfigurácia Rozsah
Save Configurations,ukladať konfigurácia
General Settings,Všeobecné nastavenia
Look and Feel Settings,Vzhľad a správanie Nastavenie
Go to Home Page,Prejdi na domovskú stránku
Home,Domov
Spin & Win,Spin & Win
Enable the Extension,povoliť rozšírenie
Following features are not avalialble in free version.,Nasledujúce funkcie nie sú avalialble vo voľnej verzii.
Click here ,Kliknite tu
to buy paid version of this module.,kúpiť platenú verziu tohto modulu.
1-General setting tab,1 Karta Všeobecné nastavenia
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,"Show Vytiahnite: Nastavenie, aby majiteľ obchodu poskytnúť možnosť vytiahnuť bicykel späť na obrazovke užívateľom"
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,"Email redundantné kontrola: Nastavenie pre overenie e-mailovej id zákazníka, aby sa zabezpečilo, že nie je opakovanie emaily id"
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,"Koliesko Display Interval: Nastavenie stanoviť počet dní, počas ktorých bude koleso zobrazených k zákazníkovi."
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,Vlastné CSS a JS Custom: Nastavenie zmeniť vzhľad a dojem z modulu podľa ich potreby zadaním vlastnej CSS a JS vlastný kód
2-Display setting tab,Karta nastavenie 2-Display
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,"Minimálna veľkosť obrazovky: Nastavenie vybrať minimálna veľkosť obrazovky, ktorého chcete zobrazovať ponuky."
Maximum Display frequency : Setting to select the frequency of the wheel display here,Maximálna frekvencia Displej: Nastavenie pre voľbu frekvencie displeja kola tu
Where to Display : Setting to select the pages where you want to display the wheel from here,"Kde Displej: Nastavenie pre výber stránky, kde chcete zobraziť kolo odtiaľ"
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Koho Zobraziť: Nastavenie pre výber návštevníkov, ktorým chcete ukázať spin koleso. Môžete si vybrať, Všetci návštevníci ',, registrovaných návštevníkov' alebo ""Host hosťuje"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,"Kedy Displej: Nastavenie vybrať si presne, kedy chcete, aby sa koleso, ktoré majú byť zobrazené. Buď môžete zobraziť okamžite, keď pristane zákazník na vašom webe alebo na určitý čas a keď návštevník zvitky nadol"
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,Geo Umiestnenie: Nastavenie zvoliť zobrazenie ponúk podľa umiestnenia Geo návštevníkov.
3-Look & Feel  setting tab ,3-Look & Vaša karta nastavenia
Setting to allow change the look of the wheel as it appears on the site,"Nastavenie umožňuje zmeniť vzhľad bicykla, ako je uvedený na webe"
4-Wheel setting tab,Karta nastavenie 4-Wheel
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,"Nastavenie zmeniť vzhľad a dojem z spin kola zmenou nastavenia vo voľbe, Wheel Setting '"
5-Slice setting tab,Karta nastavenie 5-plátok
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,"Nastavenie a text alebo ponuky zobrazené v rôznych plátkov kola možno meniť od, Slice Setting 'voľba"
6-Email marketing setting tab,Karta marketing nastavenie 6-Email
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,"Administrátor môže povoliť alebo zakázať MailChimp a Klaviyo voľbu z nastavení, E-mail marketing '. E-mailom oznámenia bude zaslaný k zákazníkom na e-mailovú ID, ako zmienil sa o ne."
7-Email tab,Karta 7-Email
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Umožňuje správca vybrať miesta, kde chce zobraziť kupón. A síce, len na bicykel ',, Email iba',, Email & Wheel '"
8-Statistics tab,8 Karta štatistických údajov
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,"Kompletný prístup ku štatistickej správy z návštevníkov, ktorí spradená bicykel a nárokovaných kupón generovaný rovnaký. Táto správa je generovaná v oboch grafickej a tabuľkové podobe."
Display Image,Display Image
Show image in the front end Spin Wheel interface,Zobraziť obrázok v rozhraní front end Spin Wheel
Upload your Logo Image,Nahrať svoj obrázok loga
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),"Nahrať obrázok, ktorý bude zobrazený v rozhraní front end preklzávaniu kolies (Maximálna veľkosť - 2 MB)"
Required Field,Požadované pole
Not a valid email,Nie je platný e-mail
a discount,zľava
Code copied.,Kód kopírovať.
Website Logo,Webové stránky Logo
Special bonus unlocked,Špeciálny bonus odomkol
Hurrah! You've got,Hurá! Máte
. Lucky day!,", Šťastný deň!"
The coupon code has been sent to you through the email.,Kupon kód bol zaslaný prostredníctvom e-mailu.
Better luck next time!,Nabudúce viac šťastia!
You have a chance to win a nice big fat discount. Are you ready?,Máte šancu vyhrať pekný veľký tučný zľavu. Si pripravený?
You can spin the wheel only once.,Môžete točiť volantom iba raz.
"If you win, you can claim your coupon for 1 day only!","Ak vyhráte, môžete nárokovať kupón len 1 deň!"
Don't forget to use the discount code at checkout!,Nezabudnite použiť zľavový kód pri pokladni!
Enter you email,Zadajte e-maily
Try your luck,Skús svoje šťastie
Next Time,Nabudúce
"No, I do not feel lucky","Nie, nemám pocit šťastia"
Continue,ďalej
Spin and Win Free,Spin a Win zadarmo
