Jan,январь
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,"Показать Вытащите: Установка, чтобы владелец магазина, чтобы обеспечить возможность тянуть колесо назад на экране пользователя"
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,"Email Redundancy Check: Установка для проверки электронной почты, идентификатор клиента, чтобы гарантировать, что нет никакого повторения электронных писем ид"
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,"Интервал дисплея Колеса: Установка для фиксации числа дней, после чего колесо будет отображаться клиенту."
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,"Пользовательские C и пользовательские JS: Настройка, чтобы изменить внешний вид модуля в соответствии с их потребностью, введя пользовательский CSS и пользовательский код JS"
2-Display setting tab,Вкладка настройки 2-Display
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,Минимальный размер экрана: Установка для выбора минимального размера экрана которого вы хотите отобразить предложения.
Maximum Display frequency : Setting to select the frequency of the wheel display here,Максимальная частота дисплея: Установка для выбора частоты дисплея колеса здесь
Where to Display : Setting to select the pages where you want to display the wheel from here,"Где Дисплей: Установка для выбора страниц, где вы хотите, чтобы отобразить колесо от сюда"
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’","Кто Показать: Установка для выбора посетителей, которым вы хотите, чтобы показать вращение колеса. Вы можете выбрать «Все посетители», «зарегистрированных посетителей» или «гостей» посетителей"
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,"Когда Дисплей: Установка для выбора, когда именно вы хотите, чтобы колесо, которое будет отображаться. Вы можете отобразить его сразу же, когда земли клиента на вашем сайте или через некоторое время или когда посетитель прокручивает вниз"
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,Географическое положение: Установка для выбора дисплея предлагает в соответствии с Geo расположения посетителей.
3-Look & Feel  setting tab ,3-Look & Feel вкладки настройки
Setting to allow change the look of the wheel as it appears on the site,"Настройка, чтобы изменить внешний вид колеса, как он появится на сайте"
4-Wheel setting tab,Вкладка настройки 4-колеса
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,"Настройка, чтобы изменить внешний вид и спин колеса путем изменения конфигурации в опции «Установка колеса»"
5-Slice setting tab,5-фрагмент вкладка настройки
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,"Настройки и текст или предложения, отображаемые в различных срезах колеса можно изменить опции «Кусочек Setting»"
6-Email marketing setting tab,6-Email вкладка Настройки маркетинга
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,"Администратор может включить или отключить MailChimp и Klaviyo опцию в настройках «Email Маркетинг». Уведомление по электронной почте будет отправлено клиентам на электронный идентификатор, как указано на них."
7-Email tab,Вкладка 7-Email
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’","Позволяет администратору выбирать места, где он хочет, чтобы отобразить купон. А именно «Только на колесе», «Электронная почта только», «E-mail & Wheel»"
8-Statistics tab,8-закладка Статистики
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,"Полный доступ к статистическому отчету посетителей, которые центрифугировали колесо и заявляемых купон, порожденную тем же самым. Отчет формируется как в графическом и табличном формате."
Display Image,Показать изображение
Show image in the front end Spin Wheel interface,Показать изображение в интерфейсе пробуксовки переднего конца
Upload your Logo Image,Загрузить изображение логотипа
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),"Загрузите изображение, которое будет показано в интерфейсе колеса передний конец Спин (Максимальный размер - 2 MB)"
Required Field,Обязательное поле
Not a valid email,Не действительный адрес электронной почты
a discount,скидка
Code copied.,Код скопирован.
Website Logo,Сайт Логотип
Special bonus unlocked,Специальный бонус разблокированы
Hurrah! You've got,Ура! У тебя есть
. Lucky day!,", Счастливый день!"
The coupon code has been sent to you through the email.,Код купона был послан к вам через электронную почту.
Better luck next time!,Повезет в следующий раз!
You have a chance to win a nice big fat discount. Are you ready?,У вас есть шанс выиграть хорошую большой жир скидку. Вы готовы?
You can spin the wheel only once.,Вы можете вращать колесо только один раз.
"If you win, you can claim your coupon for 1 day only!","Если вы выиграете, вы можете претендовать купон всего за 1 день!"
Don't forget to use the discount code at checkout!,Не забудьте использовать код скидки при оформлении заказа!
Enter you email,Введите адрес электронной
Try your luck,Испытай удачу
Next Time,В следующий раз
"No, I do not feel lucky","Нет, я не считаю, повезло"
Continue,Продолжать
Spin and Win Free,Спин и выиграть бесплатные
