Jan,يناير
Spin & Win,تدور واربح
Enable the Extension,تمكين التمديد
Following features are not avalialble in free version.,الميزات التالية لا avalialble في نسخة مجانية.
Click here ,انقر هنا
to buy paid version of this module.,لشراء النسخة المدفوعة من هذه الوحدة.
1-General setting tab,1 العام التبويب وضع
Show Pull out : Setting to allow store owner to provide the option to pull the wheel back on the screen by the user,مشاهدة سحب: الإعداد للسماح صاحب متجر لتوفير خيار سحب العجلة الخلفية على الشاشة من قبل المستخدم
Email Redundancy Check : Setting to verify the email id of the customer in order to ensure that there is no repetition of emails id,البريد الإلكتروني التكرار تحقق: إعداد للتحقق من هوية البريد الإلكتروني للعملاء من أجل ضمان أنه لا يوجد تكرار رسائل البريد الإلكتروني معرف
Wheel Display Interval : Setting to fix the number of days after which the wheel will be displayed to the customer.,عجلة العرض الفاصل الزمني: تحديد لإصلاح عدد من الأيام وبعد ذلك سيتم عرض العجلة إلى العملاء.
Custom CSS and Custom JS : Setting to change  the look and feel of the module as per their need by entering the custom CSS and custom JS code,CSS العرف وJS مخصص: الإعداد لتغيير الشكل والمظهر من وحدة وفقا لحاجتها عن طريق إدخال CSS العرف والعرف كود JS
2-Display setting tab,علامة التبويب إعداد 2-العرض
Minimum Screen Size : Setting to choose minimum screen size whom you want to display offers.,الحد الأدنى مقاس الشاشة: تعيين لاختيار الحد الأدنى لحجم الشاشة الذي تريد عرضه العروض.
Maximum Display frequency : Setting to select the frequency of the wheel display here,الحد الأقصى تردد العرض: وضع لتحديد وتيرة العرض عجلة هنا
Where to Display : Setting to select the pages where you want to display the wheel from here,حيث أن العرض: إعداد لتحديد الصفحات التي تريد عرضها في عجلة من هنا
"Who to Show : Setting to select the visitors to whom you want to show the spin wheel. You may select ‘All Visitors’, ‘Registered Visitors’, or ‘Guest Visitors’",الذين إظهار: إعداد لتحديد الزائرين الذين تريد أن تظهر العجلة تدور. يمكنك اختيار 'جميع الزوار' آخر مسجل "، أو" آخر الزوار "
When to Display : Setting to choose exactly when you want the wheel to be displayed. You can either display it immediately when the customer lands on your site or after some time or when the visitor scrolls down,عندما لعرض: تعيين لاختيار بالضبط عندما تريد العجلة ليتم عرضها. يمكنك إما عرضه على الفور عندما الأراضي العملاء على موقعك أو بعد مرور بعض الوقت أو عندما مخطوطات الزوار أسفل
Geo Location :  Setting to select the display offers as per the Geo location of the visitors.,الموقع الجغرافي: إعداد لتحديد عرض يقدم وفقا للموقع الجغرافي للزوار.
3-Look & Feel  setting tab ,3-نظرة ويشعر التبويب وضع
Setting to allow change the look of the wheel as it appears on the site,للسماح لتغيير شكل عجلة كما يظهر على الموقع
4-Wheel setting tab,علامة التبويب إعداد 4 عجلات
Setting to change the look and feel of the spin wheel by changing the configuration in the ‘Wheel Setting’ option,الإعداد لتغيير الشكل والمظهر من عجلة تدور عن طريق تغيير التكوين في خيار 'إعداد عجلة "
5-Slice setting tab,5-شريحة التبويب وضع
Settings and the text or offers displayed in the different slices of the wheel can be changed from the ‘Slice Setting’ option,وضبط النص أو العروض المعروضة في شرائح مختلفة من عجلة القيادة يمكن أن تغير من خيار "وضع شريحة"
6-Email marketing setting tab,6-البريد الإلكتروني التبويب إعداد التسويق
The admin can enable or disable MailChimp and Klaviyo option from the ‘Email Marketing’ settings. An email notification will be sent to the customers on the email id as mentioned by them.,المشرف يمكن تمكين أو الخيار ميل تشيمب وKlaviyo تعطيل من الإعدادات "التسويق عبر البريد الإلكتروني. سيتم إرسال إشعار البريد الإلكتروني للعملاء على معرف البريد الإلكتروني كما هو مذكور بها.
7-Email tab,علامة التبويب 7 البريد الإلكتروني
"Allows the admin to choose the places where he wants to display the coupon. Namely ‘Only on Wheel’, ‘Email Only’, ‘Email & Wheel’",يسمح المشرف لاختيار الأماكن التي يريد لعرض القسيمة. وهي "فقط على عجلة '،' البريد الالكتروني فقط '،' البريد الإلكتروني وعجلة"
8-Statistics tab,8 الاحصائيات التبويب
A complete access to the statistical report of the visitors who spinned the wheel and claimed the coupon generated by the same. The report is generated in both graphical and tabular format.,A الوصول الكامل للتقرير الإحصائي للزوار الذين نسجها عجلة القيادة وادعى القسيمة الناتجة عن نفسه. يتم إنشاء تقرير في كل شكل رسوم بيانية وجداول.
Display Image,هذه الصورة ليست للعرض
Show image in the front end Spin Wheel interface,صورة تظهر في واجهة الأمامية تدور العجلة
Upload your Logo Image,حمل سيرتك صورة الشعار
Upload an image to be shown in the front end Spin Wheel interface (Max Size - 2 MB),تحميل صورة ليتم عرضها في واجهة عجلة نهاية سبين الأمامي (ماكس الحجم - 2 MB)
Required Field,يتطلب حقلا
Not a valid email,البريد الإلكتروني غير صالح
a discount,خصم
Code copied.,كود نسخ.
Website Logo,موقع الشعار
Special bonus unlocked,مكافأة خاصة مقفلة
Hurrah! You've got,يا هلا! عندك
. Lucky day!,. يوم الحظ!
The coupon code has been sent to you through the email.,تم ارسال رمز القسيمة لك من خلال البريد الإلكتروني.
Better luck next time!,حظ أوفر في المرة القادمة!
You have a chance to win a nice big fat discount. Are you ready?,لديك فرصة للفوز لطيفة خصم كبيرة من الدهون. هل أنت جاهز؟
You can spin the wheel only once.,يمكنك تدور العجلة مرة واحدة فقط.
"If you win, you can claim your coupon for 1 day only!",إذا كنت الفوز، يمكنك المطالبة القسيمة الخاصة بك لمدة 1 يوم فقط!
Don't forget to use the discount code at checkout!,لا تنسى أن استخدام رمز الخصم على الخروج!
Enter you email,أدخل البريد الإلكتروني لك
Try your luck,جرب حظك
Next Time,المره القادمة
"No, I do not feel lucky",لا، أنا لا أشعر بأنني محظوظ
Continue,استمر
Spin and Win Free,وتدور فوز الحرة
